time(ps) msd_I(A^2)
0.000000000000000000e+00 0.000000000000000000e+00
2.040816326530612201e+01 2.040816326530612082e-02
4.081632653061224403e+01 4.081632653061224164e-02
6.122448979591836604e+01 6.122448979591836593e-02
8.163265306122448806e+01 8.163265306122448328e-02
1.020408163265306030e+02 1.020408163265306006e-01
1.224489795918367321e+02 1.224489795918367319e-01
1.428571428571428612e+02 1.428571428571428770e-01
1.632653061224489761e+02 1.632653061224489666e-01
1.836734693877550910e+02 1.836734693877550839e-01
2.040816326530612059e+02 2.040816326530612013e-01
2.244897959183673493e+02 2.244897959183673464e-01
2.448979591836734642e+02 2.448979591836734637e-01
2.653061224489795791e+02 2.653061224489796088e-01
2.857142857142857224e+02 2.857142857142857539e-01
3.061224489795918089e+02 3.061224489795917880e-01
3.265306122448979522e+02 3.265306122448979331e-01
3.469387755102040956e+02 3.469387755102040782e-01
3.673469387755101820e+02 3.673469387755101678e-01
3.877551020408163254e+02 3.877551020408163129e-01
4.081632653061224119e+02 4.081632653061224025e-01
4.285714285714285552e+02 4.285714285714285476e-01
4.489795918367346985e+02 4.489795918367346927e-01
4.693877551020407850e+02 4.693877551020407823e-01
4.897959183673469283e+02 4.897959183673469274e-01
5.102040816326530717e+02 5.102040816326530726e-01
5.306122448979591582e+02 5.306122448979592177e-01
5.510204081632653015e+02 5.510204081632653628e-01
5.714285714285714448e+02 5.714285714285715079e-01
5.918367346938775881e+02 5.918367346938776530e-01
6.122448979591836178e+02 6.122448979591835760e-01
6.326530612244897611e+02 6.326530612244897211e-01
6.530612244897959044e+02 6.530612244897958663e-01
6.734693877551020478e+02 6.734693877551020114e-01
6.938775510204081911e+02 6.938775510204081565e-01
7.142857142857142208e+02 7.142857142857141906e-01
7.346938775510203641e+02 7.346938775510203357e-01
7.551020408163265074e+02 7.551020408163264808e-01
7.755102040816326507e+02 7.755102040816326259e-01
7.959183673469387941e+02 7.959183673469387710e-01
8.163265306122448237e+02 8.163265306122448051e-01
8.367346938775509670e+02 8.367346938775509502e-01
8.571428571428571104e+02 8.571428571428570953e-01
8.775510204081632537e+02 8.775510204081632404e-01
8.979591836734693970e+02 8.979591836734693855e-01
9.183673469387755404e+02 9.183673469387755306e-01
9.387755102040815700e+02 9.387755102040815647e-01
9.591836734693877133e+02 9.591836734693877098e-01
9.795918367346938567e+02 9.795918367346938549e-01
1.000000000000000000e+03 1.000000000000000000e+00
