time(ps) msd_O2(A^2)
0.000000000000000000e+00 0.000000000000000000e+00
2.040816326530612201e+01 1.224489795918367319e-01
4.081632653061224403e+01 2.448979591836734637e-01
6.122448979591836604e+01 3.673469387755102233e-01
8.163265306122448806e+01 4.897959183673469274e-01
1.020408163265306030e+02 6.122448979591835760e-01
1.224489795918367321e+02 7.346938775510204467e-01
1.428571428571428612e+02 8.571428571428572063e-01
1.632653061224489761e+02 9.795918367346938549e-01
1.836734693877550910e+02 1.102040816326530503e+00
2.040816326530612059e+02 1.224489795918367152e+00
2.244897959183673493e+02 1.346938775510204023e+00
2.448979591836734642e+02 1.469387755102040893e+00
2.653061224489795791e+02 1.591836734693877542e+00
2.857142857142857224e+02 1.714285714285714413e+00
3.061224489795918089e+02 1.836734693877550839e+00
3.265306122448979522e+02 1.959183673469387710e+00
3.469387755102040956e+02 2.081632653061224580e+00
3.673469387755101820e+02 2.204081632653061007e+00
3.877551020408163254e+02 2.326530612244897878e+00
4.081632653061224119e+02 2.448979591836734304e+00
4.285714285714285552e+02 2.571428571428571175e+00
4.489795918367346985e+02 2.693877551020408045e+00
4.693877551020407850e+02 2.816326530612244916e+00
4.897959183673469283e+02 2.938775510204081787e+00
5.102040816326530717e+02 3.061224489795918657e+00
5.306122448979591582e+02 3.183673469387755084e+00
5.510204081632653015e+02 3.306122448979591955e+00
5.714285714285714448e+02 3.428571428571428825e+00
5.918367346938775881e+02 3.551020408163265696e+00
6.122448979591836178e+02 3.673469387755101678e+00
6.326530612244897611e+02 3.795918367346938549e+00
6.530612244897959044e+02 3.918367346938775420e+00
6.734693877551020478e+02 4.040816326530612734e+00
6.938775510204081911e+02 4.163265306122449161e+00
7.142857142857142208e+02 4.285714285714285587e+00
7.346938775510203641e+02 4.408163265306122014e+00
7.551020408163265074e+02 4.530612244897959329e+00
7.755102040816326507e+02 4.653061224489795755e+00
7.959183673469387941e+02 4.775510204081633070e+00
8.163265306122448237e+02 4.897959183673468608e+00
8.367346938775509670e+02 5.020408163265305923e+00
8.571428571428571104e+02 5.142857142857142350e+00
8.775510204081632537e+02 5.265306122448979664e+00
8.979591836734693970e+02 5.387755102040816091e+00
9.183673469387755404e+02 5.510204081632653406e+00
9.387755102040815700e+02 5.632653061224489832e+00
9.591836734693877133e+02 5.755102040816326259e+00
9.795918367346938567e+02 5.877551020408163573e+00
1.000000000000000000e+03 6.000000000000000000e+00
